acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gir_x,gir_y,gir_z,displacement_speed,label
5306,10322,-11040,-763,531,-1284,176,325,-12,0,Lying-Resting
5482,10309,-11014,-756,526,-1208,178,327,-23,0,Lying-Resting
-4963,13315,-7339,412,351,-1551,190,263,-50,0,Lying-Resting
-5000,13303,-7280,415,366,-1576,192,250,-26,0,Lying-Resting
-5038,13298,-7343,406,372,-1525,218,304,1,0,Lying-Resting
-5016,13250,-7406,408,364,-1578,245,303,-92,0,Lying-Resting
-6850,11757,-8362,493,381,-1571,191,282,-26,0,Lying-Resting
-6875,11783,-8356,491,344,-1566,181,261,25,0,Lying-Resting
-6833,11809,-8416,480,359,-1564,169,268,-37,0,Lying-Resting
-6853,11735,-8358,489,359,-1482,201,247,20,0,Lying-Resting
-6842,11812,-8373,495,345,-1554,118,264,-41,0,Lying-Resting
-6974,11677,-8509,499,350,-1508,197,314,-43,0,Lying-Resting
-7002,11666,-8498,498,347,-1521,131,237,-57,0,Lying-Resting
-6985,11639,-8525,499,350,-1494,197,272,-29,0,Lying-Resting
-6978,11630,-8492,506,360,-1530,181,275,-49,0,Lying-Resting
-6925,11613,-8461,491,345,-1506,141,290,-49,0,Lying-Resting
10902,9073,-8385,-35,230,-1533,284,309,-72,0,Lying-Resting
10689,9139,-8283,-29,215,-1576,193,197,-101,0,Lying-Resting
10960,8541,-8943,-92,213,-1554,345,-323,903,0,Lying-Resting
9511,8960,-9803,-343,309,-1546,148,1857,-479,0,Lying-Resting
10342,7449,-10000,-307,306,-1540,399,-355,419,0,Lying-Resting
5874,9774,-11084,-799,709,-1177,106,231,7,0,Lying-Resting
5843,9884,-11174,-798,721,-1210,288,257,-107,0,Lying-Resting
5931,9855,-11186,-797,731,-1210,179,264,-70,0,Lying-Resting
5902,9891,-11105,-793,722,-1149,175,297,-67,0,Lying-Resting
5900,9936,-11108,-790,676,-1234,123,236,-19,0,Lying-Resting
6054,9914,-11131,-782,690,-1215,110,277,154,0,Lying-Resting
6035,9779,-11069,-784,683,-1161,188,308,6,0,Lying-Resting
6384,9901,-10864,-770,675,-1263,236,343,-53,0,Lying-Resting
6129,10057,-11018,-761,640,-1209,263,309,-46,0,Lying-Resting
6048,9914,-10990,-762,650,-1189,184,310,-10,0,Lying-Resting
6141,9865,-10881,-771,641,-1209,181,251,-40,0,Lying-Resting
6088,9900,-11006,-761,648,-1193,96,355,-69,0,Lying-Resting
6132,9833,-11051,-758,646,-1220,226,276,-6,0,Lying-Resting
6542,10928,-9957,-623,530,-1344,299,430,-51,0,Lying-Resting
6818,10863,-9666,-595,527,-1348,103,201,339,0,Lying-Resting
6535,10956,-9724,-613,514,-1399,169,261,42,0,Lying-Resting
6187,10583,-10252,-603,420,-1366,155,331,19,0,Lying-Resting
6391,10618,-10322,-597,411,-1406,230,47,49,0,Lying-Resting
6225,10522,-10408,-603,418,-1387,196,267,40,0,Lying-Resting
6154,10499,-10392,-605,425,-1415,276,350,-134,0,Lying-Resting
6020,10634,-10313,-586,410,-1404,160,177,43,0,Lying-Resting
5932,10627,-10358,-584,401,-1430,210,296,-114,0,Lying-Resting
6124,10786,-10230,-581,404,-1436,223,291,-104,0,Lying-Resting
6328,10833,-10248,-583,391,-1428,92,189,126,0,Lying-Resting
6067,10826,-10073,-585,411,-1387,94,204,74,0,Lying-Resting
5934,10742,-10281,-572,369,-1346,202,167,9,0,Lying-Resting
6205,10833,-10230,-557,371,-1417,211,314,-12,0,Lying-Resting
6151,10730,-10237,-558,382,-1442,169,314,19,0,Lying-Resting
6281,11275,-9628,-418,309,-1505,205,277,41,0,Lying-Resting
6237,11317,-9570,-416,296,-1412,223,317,-11,0,Lying-Resting
6193,11316,-9687,-426,288,-1505,153,326,-9,0,Lying-Resting
6165,11317,-9599,-415,296,-1432,112,210,-2,0,Lying-Resting
-5383,12920,-7765,350,281,-1521,128,258,37,0,Lying-Resting
-5360,12939,-7751,348,266,-1535,172,259,32,0,Lying-Resting
-5430,12924,-7739,352,273,-1571,156,274,54,0,Lying-Resting
-5419,12905,-7720,350,270,-1591,195,263,-14,0,Lying-Resting
-5293,12976,-7682,349,280,-1561,104,268,-58,0,Lying-Resting
-5413,12775,-7806,372,270,-1508,238,277,7,0,Lying-Resting
-5440,12841,-7788,387,253,-1587,199,275,-14,0,Lying-Resting
-5437,12801,-7877,359,264,-1547,86,277,41,0,Lying-Resting
5299,10970,-10414,-684,442,-1340,182,292,-145,0,Lying-Resting
5344,11040,-10285,-670,442,-1353,123,235,2,0,Lying-Resting
5201,11158,-10189,-666,432,-1362,109,135,115,0,Lying-Resting
5179,11046,-10357,-668,433,-1393,198,257,-128,0,Lying-Resting
5248,11133,-10360,-668,448,-1388,193,307,-13,0,Lying-Resting
5561,11366,-9791,-503,326,-1480,215,274,-75,0,Lying-Resting
5649,11565,-9616,-506,336,-1465,155,268,-21,0,Lying-Resting
5684,11503,-9627,-498,342,-1482,171,315,-32,0,Lying-Resting
5578,11592,-9644,-499,336,-1413,225,359,19,0,Lying-Resting
-5326,13282,-7190,343,338,-1600,231,268,9,0,Lying-Resting
-5390,13178,-7226,355,318,-1577,256,315,-16,0,Lying-Resting
-5391,13181,-7186,344,317,-1532,210,297,12,0,Lying-Resting
-5494,13163,-7238,344,325,-1548,209,292,-106,0,Lying-Resting
-5650,13052,-7291,353,315,-1574,157,248,-72,0,Lying-Resting
-5680,13049,-7289,351,328,-1534,169,268,10,0,Lying-Resting
-5747,13029,-7272,356,307,-1550,179,273,67,0,Lying-Resting
-5804,12889,-7345,360,318,-1563,207,263,34,0,Lying-Resting
-5878,12904,-7351,356,302,-1583,163,286,-39,0,Lying-Resting
-5917,12894,-7385,355,300,-1580,152,276,74,0,Lying-Resting
-5872,12653,-7726,416,325,-1521,153,279,27,0,Lying-Resting
-5838,12760,-7639,420,323,-1579,184,252,14,0,Lying-Resting
-5846,12713,-7605,414,320,-1544,203,302,-23,0,Lying-Resting
-5899,12711,-7642,406,317,-1527,164,278,-24,0,Lying-Resting
-6003,12418,-8015,408,288,-1513,160,255,61,0,Lying-Resting
-6006,12493,-7879,407,277,-1546,106,243,13,0,Lying-Resting
-6044,12445,-8011,398,279,-1544,168,292,-55,0,Lying-Resting
-5957,12534,-7938,411,301,-1562,76,290,78,0,Lying-Resting
3997,11221,-10932,-615,230,-1334,373,413,-80,0,Lying-Ruminating
4387,10428,-11344,-623,251,-1362,806,844,-401,0,Lying-Ruminating
6593,10367,-12426,-655,252,-1322,126,636,1779,0,Lying-Ruminating
